title,tagline
Safe,In the 21st century nobody will be... Safe.
The Scarlet Letter,"When intimacy is forbidden and passion is a sin, love is the most defiant crime of all."
Showgirls,Beyond your wildest dreams. Beyond your wildest fantasies.
Smoke,Where there's smoke... there's laughter!
Something to Talk About,"A story about husbands, wives, parents, children and other natural disasters."
Species,Our time is up.
Strange Days,You know you want it.
The Umbrellas of Cherbourg,a film for all the young lovers of the world
The Tie That Binds,
Three Wishes,"If you really believe, magic will find you"
Total Eclipse,Touched by Genius. Cursed by Madness. Blinded by Love.
"To Wong Foo, Thanks for Everything! Julie Newmar",Attitude is everything
Under Siege 2: Dark Territory,Last time he rocked the boat. This time the sky's the limit.
Unstrung Heroes,Sometimes you find your heroes in the most unlikely places
Unzipped,
A Walk in the Clouds,A man in search. A woman in need. A story of fate.
Waterworld,Beyond the horizon lies the secret to a new beginning.
White Man's Burden,Reality Just Switched Sides
The Browning Version,The greatest lessons in the life and the ones learned by heart.
Burnt by the Sun,A moving and poignant story set against the corrupt politics of the Stalinist era.
Before the Rain,Once You Know The Faces You Will Begin To Understand The Story
Before Sunrise,Can the greatest romance of your life last only one night?
Billy Madison,Billy is going back to school... Way back.
The Babysitter,Something about her captures the imagination.
Boys on the Side,"A motion picture that celebrates the art of survival, the gift of laughter and the miracle of friendship."
The Cure,The best cure for a disease is friendship
Castle Freak,Hideous... hungry... and loose!
Circle of Friends,
Clerks,Just because they serve you doesn't mean they like you.
Don Juan DeMarco,The story of the man who thought he was the greatest lover in the world... and the people who tried to cure him of it!
Disclosure,Sex Is Power.
Drop Zone,Taking crime to new heights
Destiny Turns on the Radio,Fate visits in ways you never expect
Death and the Maiden,Prepare yourself for the moment of truth.
Dolores Claiborne,"Sometimes, an accident can be an unhappy woman's best friend."
Dumb and Dumber,"What the one doesn't have, the other is missing."
Eat Drink Man Woman,
Exotica,"In a world of temptation, obsession is the deadliest desire."
Exit to Eden,"To crack this case, these two cops will have to flash more than their badges."
Ed Wood,"When it came to making bad movies, Ed Wood was the best."
French Kiss,
Forget Paris,
Far from Home: The Adventures of Yellow Dog,Partners in survival. Friends for life.
A Goofy Movie,It's the story of a father who couldn't be closer...to driving his son crazy.
Hideaway,He was bought back from the dead... but he didn't come back alone.
Fluke,Unleash your imagination... and come along on a magical journey. Follow him home.
Farinelli,Où s'arrête le pouvoir de sa voix?
Gordy,The talking pig who made it big!
Gumby: The Movie,The original green hero!
The Glass Shield,In a world filled with violence... his only weapon is the truth!
Hoop Dreams,An Extraordinary True Story.
Heavenly Creatures,From a secret world no one could see... came a crime no one could believe.
Houseguest,
Immortal Beloved,
Heavyweights,They don't run the fastest. They don't jump the highest. But they sure are getting the last laugh. Heavyweights. They never met a hot dog they didn't like ... until now.
The Hunted,He's trapped in a world where killing is an art and revenge is an obsession
I.Q.,Think Love.
Interview with the Vampire,Drink from me and live forever
Jefferson in Paris,A powerful man torn between his love for one woman and his secret desire for another.
The Jerky Boys,
Junior,Nothing is inconceivable
Just Cause,Buried deep in the Florida Everglades is a secret that can save an innocent man or let a killer kill again.
A Kid in King Arthur's Court,Joust Do It.
Kiss of Death,
Star Wars,"A long time ago in a galaxy far, far away..."
Little Women,"The story that has lived in our hearts for generations, now comes to the screen for the holidays."
A Little Princess,Every girl everywhere is a princess.
Ladybird Ladybird,
L'Enfer,
Like Water for Chocolate,"In Tita's kitchen, ordinary spices become a recipe for passion."
Legends of the Fall,After the Fall from Innocence the Legend begins.
Major Payne,He's looking for a few good men... or a few guys old enough to shave.
Little Odessa,Brothers in blood. Partners in crime.
Mi Vida Loca,Mothers. Warriors. Sisters. Survivors.
Love Affair,
Losing Isaiah,Who decides what makes a mother?
The Madness of King George,
Mary Shelley's Frankenstein,Be Warned.  It's Alive
Man of the House,Jack wants to marry Ben's mother. But there are strings attached.
Mixed Nuts,
Milk Money,You can't get enough of a good thing... But first you have to find it.
Miracle on 34th Street,"If you really believe, anything can happen."
Miami Rhapsody,Love is great. Marriage is a completely different affair.
My Family,Three generations of dreams.
Murder in the First,The trial that brought down Alcatraz
Nobody's Fool,In a town where nothing ever happens... everything is about to happen to Sully.
Nell,Her heart. Her soul. Her language are a mystery...A mystery called Nell
New Jersey Drive,The Only Thing That Matters Is The Ride
Beyond Bedlam,Psychological Terror Beyond Your Wildest Nightmares
Nina Takes a Lover,Sometimes you have to break your vow to keep your promise.
Natural Born Killers,The Media Made Them Superstars.
Only You,A love story written in the stars.
Once Were Warriors,"A family in crisis, a life in chaos... Nothing is more powerful than a mother's love."
Poison Ivy II: Lily,Passion. Seduction. Betrayal. Lily wanted to be just like Ivy.
Outbreak,This animal carries a deadly virus... and the greatest medical crisis in the world is about to happen.
Leon: The Professional,"If you want a job done well, hire a professional."
The Perez Family,"On the way to finding a family, she found love."
A Pyromaniac's Love Story,
Pulp Fiction,Just because you are a character doesn't mean you have character.
Priest,"In a world of rituals, in a place of secrets, a man must choose between keeping the faith and exposing the truth."
Quiz Show,Fifty million people watched but no one saw a thing.
Picture Bride,
Queen Margot,
The Quick and the Dead,Think you are quick enough?
Roommates,
Prêt-à-Porter,"At the world's hottest fashion show, there's been a murder and now everyone's a suspect. If you've got something to hide, you'll need something to wear."
Three Colors: Red,
Three Colors: Blue,
Three Colors: White,
"Red Firecracker, Green Firecracker",
Stuart Saves His Family,
The Swan Princess,An enchanting classic destined to capture your heart and free your spirit.
The Secret of Roan Inish,Between land and sea there is a place where myths are real.
The Specialist,The government taught him to kill. Now he's using his skills to help a woman seek revenge against the Miami underworld.
Stargate,It will take you a million light years from home. But will it bring you back?
The Santa Clause,What if your dad was Santa Claus?
The Shawshank Redemption,Fear can hold you prisoner. Hope can set you free.
Shallow Grave,The award winning thriller that'll bury you with laughs.
Suture,A thriller where nothing is black and white.
Strawberry and Chocolate,
Swimming with Sharks,Life is not a movie
The Sum of Us,We're all just . . . The Sum of Us.
Senior Trip,Stupid tricks. Outrageous chaos. Total destruction. They're taking it on the road.
To Live,
Tank Girl,"In 2033, justice rides a tank and wears lip gloss."
Tales from the Crypt: Demon Knight,Ready for your deadtime story?
Star Trek: Generations,Boldly go.
Tales from the Hood,Chill or be Chilled
Tom & Viv,"For better, for worse, forever."
Village of the Damned,Beware the Children
Tommy Boy,"If at first you don't succeed, lower your standards."
Vanya on 42nd Street,
The Underneath,"For passion, betrayal and murder... there's still no place like home."
The Walking Dead,Surviving the streets was just a rehearsal.
What's Eating Gilbert Grape,A film about the love you find...In the last place you look.
Virtuosity,Justice needs a new program.
While You Were Sleeping,A story about love at second sight.
The War,
Double Happiness,You've got one life to live. What's it gonna be?
Muriel's Wedding,Success is the best revenge.
The Baby-Sitters Club,Friends Forever
Ace Ventura: Pet Detective,"He's the best there is! (Actually, he's the only one there is.)"
"The Adventures of Priscilla, Queen of the Desert",She's back... Looking as gorgeous and outrageous as ever in a brand new frock.
Backbeat,
Bitter Moon,A kinky voyage with a full head of steam.
Bullets Over Broadway,
Clear and Present Danger,The war of drugs would lead him to the war of power.
The Client,A district attorney out for a conviction. A new lawyer out of her league. A young boy who knew too much.
"Corrina, Corrina",
Crooklyn,
The Crow,Real love is forever.
Cobb,Everyone hated this baseball legend. And he loved it.
The Flintstones,Yabba-Dabba-Doo!
Forrest Gump,"The world will never be the same, once you've seen it through the eyes of Forrest Gump."
Four Weddings and a Funeral,Five good reasons to stay single.
Higher Learning,
I Love Trouble,Romance Was Never More Dangerous!
It Could Happen to You,A cop. A waitress. A lottery ticket.
The Jungle Book,
"The Wonderful, Horrible Life of Leni Riefenstahl",
The Lion King,Life's greatest adventure is finding your place in the Circle of Life.
Little Buddha,A magical journey to a place where the past and present meet
New Nightmare,"One, Two, Freddy's coming for you..."
The Mask,From zero to hero.
Maverick,"In their hands, a deck of cards was the only thing more dangerous than a gun."
Mrs. Parker and the Vicious Circle,"New York in the 1920's. The only place to be was the Algonquin, and the only person to know was Dorothy Parker."
The Naked Gun 33⅓: The Final Insult,"A Mad Bomber is on the Loose, and If Anyone Can Stop Him....So Can Frank!"
The Paper,"A behind-the-lines look at work, marriage and other forms of combat."
Reality Bites,A comedy about love in the '90s
Red Rock West,Where nothing is as it seems.
Ri¢hie Ri¢h,An adventure so big... even the world's richest kid can't afford to miss it!
Safe Passage,Life's best journeys take you home
The River Wild,The vacation is over
Speed,Get ready for rush hour
Speechless,There are two sides to every relationship... Don't trust either of them.
Timecop,They killed his wife ten years ago. There's still time to save her. Murder is forever... until now.
True Lies,"When he said I do, he never said what he did."
When a Man Loves a Woman,Through the good times. Through the bad times. When a Man Loves a Woman it's for all times.
Wolf,The animal is out.
Wyatt Earp,The epic story of love and adventure in a lawless land.
Bad Company,Bribery. Blackmail. Murder. Specialities of the house.
A Low Down Dirty Shame,He's armed and dangerously funny.
"Boys Life: Three Stories of Love, Lust, and Liberation","3 Tales of Love, Lust, & Liberation"
Colonel Chabert,
"Faster, Pussycat! Kill! Kill!",Go-Go For a Wild Ride With the ACTION GIRLS!
Jason's Lyric,Love is courage.
The Secret Adventures of Tom Thumb,A nursery crime of epic proportions...
Street Fighter,The fight to save the world is on!
Mirage,Love is the deadliest illusion.
Highlander: The Final Dimension,"Throughout time they have hunted each other fulfilling the prophecy, that there can be only one."
In the Mouth of Madness,Lived Any Good Books Lately?
8 Seconds,Hang on for the ride of your life!
Above the Rim,Some games you play. Some games play you.
Addams Family Values,The Family Just Got A Little Stranger
The Age of Innocence,In a world of tradition. In an age of innocence. They dared to break the rules.
Airheads,The amps are on but nobody's home.
The Air Up There,
Another Stakeout,"They're on the look out for thrills, action and adventure."
Bad Girls,It was a dangerous time to be a woman. And a good time to have friends.
Barcelona,Americans. Anti Americans. In Love.
Being Human,"For Hector, history has a way of repeating itself."
The Beverly Hillbillies,The day they moved in... Beverly Hills moved out.
Beverly Hills Cop III,
Black Beauty,
Blink,"What you can't see, can kill you."
Blown Away,5. 4. 3. 2. 1......Time's Up.
Blue Chips,
Blue Sky,"In a world of secrets, love is the most powerful weapon."
Body Snatchers,Imagine... you're gone and someone else is living inside your body.
Boxing Helena,"Beyond love, beyond obsession, there hides something beyond reason."
A Bronx Tale,"One man lives in the neighborhood, another man owns it."
Cabin Boy,"He's Setting Sail On The High Seas... Without A Rudder, A Compass, Or A Clue!"
Carlito's Way,He's got a good future if he can live past next week.
City Slickers II: The Legend of Curly's Gold,
Clean Slate,
Cliffhanger,The height of adventure.
Coneheads,Young ones! Parental units! We summon you!
Color of Night,"In the heat of desire, love can turn to deception. Nothing is what it seems when day turns into night."
Cops & Robbersons,
The Cowboy Way,
Dangerous Game,TURBULENCE REDEMPTION HOLLYWOOD
Dave,"In a country where anybody can become President, anybody just did."
Dazed and Confused,See it with a bud.
Demolition Man,The 21st Century's most dangerous cop. The 21st Century's most ruthless criminal.
The Endless Summer 2,
Even Cowgirls Get the Blues,
Fatal Instinct,"Sex, murder and revenge were never this funny."
Farewell My Concubine,
The Favor,Two Women. Three Men. One Secret.
Fearless,Some people are afraid of nothing.
Fear of a Black Hat,The First Drive-By Comedy
With Honors,"If you want a degree go to Harvard, If you want an education go to Simon Wilder."
Flesh and Bone,Evil is patient
Widows' Peak,
For Love or Money,He thought there was nothing as seductive as money. He was wrong.
The Firm,Power can be murder to resist.
Free Willy,How far would you go for a friend?
Fresh,
The Fugitive,A murdered wife. A one-armed man. An obsessed detective. The chase begins.
Geronimo: An American Legend,A Warrior. A Leader. A Legend.
The Getaway,
Getting Even with Dad,"..He's not getting mad, he's Getting Even With Dad."
Go Fish,The girl is out there
Guilty as Sin,"She's finally met her match. He's handsome, wealthy, seductive. A Real Lady Killer!"
Hard Target,Don't hunt what you can't kill.
Heaven & Earth,An amazing true story of survival.
Hot Shots! Part Deux,Just deux it.
Live Nude Girls,"Sex, Lies and Fantasies... Unrated!"
The Englishman Who Went Up a Hill But Came Down a Mountain,
The House of the Spirits,
House Party 3,This bachelor party's gonna' bring down the house!
The Hudsucker Proxy,They took him for a fall guy... but he threw them for a hoop.
I'll Do Anything,
In the Army Now,"Sleep tight, America! The safety of the free world rests in his hands!"
In the Line of Fire,An assassin on the loose. A president in danger. Only one man stands between them...
In the Name of the Father,Falsely accused. Wrongly imprisoned. He fought for justice to clear his father's name.
The Inkwell,Summer's Never Been So Much Fun!
What's Love Got to Do with It,Who needs a heart when a heart can be broken?
Judgment Night,Don't move. Don't whisper. Don't even breathe.
Jurassic Park,An adventure 65 million years in the making.
Kalifornia,Fear never travels alone.
Killing Zoe,
King of the Hill,"When the world turns upside down, the trick is coming out on top."
Lassie,Best Friends Are Forever
Last Action Hero,This isn't the movies anymore.
Life With Mikey,He's a talent agent. She's a thief. Looks like they've already got something in common.
Lightning Jack,
M. Butterfly,
Made in America,"At the sperm-bank she asked for a tall, intelligent, black man. One out of three ain't bad."
Malice,Her doctor wasn't playing God. He thought he was God.
The Man without a Face,A fatherless boy had almost given up all his dreams... until one man believed in him enough to make them come true.
Manhattan Murder Mystery,Keaton & Allen reunited for fun flick!
Menace II Society,This is the truth. This is what's real.
Executive Decision,Fasten your seat belts
In the Realm of the Senses,
What Happened Was...,
Much Ado About Nothing,Romance. Mischief. Seduction. Revenge. Remarkable.
Mr. Jones,Everything That Makes Him Dangerous Makes Her Love Him More
Mr. Wonderful,Sometimes love is a stranger. And sometimes it's someone you've known all your life.
Mrs. Doubtfire,She makes dinner. She does windows. She reads bedtime stories. She's a blessing... in disguise.
Naked,
The Next Karate Kid,Who says the good guy has to be a guy?
No Escape,No Guards. No Walls.
North,A family comedy that appeals to the child in everyone.
Orlando,
A Perfect World,
Philadelphia,No one would take on his case... until one man was willing to take on the system.
The Piano,
Poetic Justice,A Street Romance.
The Program,From Different Worlds They Come To Prove Themselves In The Gritty World of College Football.
The Puppet Masters,Trust No One
Radioland Murders,"At station WBN, the hits just keep on coming."
The Ref,They might be his hostages but what they're doing to this guy is criminal.
The Remains of the Day,Diamond in the Rough
Renaissance Man,"One Man's Mission To Teach The Few, The Proud... The Impossible!"
Rising Sun,A collision of East and West. A conspiracy of seduction and murder. A battle between tradition and power. Business is war.
The Road to Wellville,A comedy of the heart and other organs.
RoboCop 3,He's back to lay down the law.
Robin Hood: Men in Tights,"The legend had it coming... Find out where Robin Hood put his Little John, what made Will Scarlet, and what did Friar Tuck into his tights that Maid Marion all of a quiver?"
Romeo Is Bleeding,The story of a cop who wanted it bad and got it worse.
Romper Stomper,Give Him Smack In Head Special ...
Ruby in Paradise,A woman's search for herself.
Rudy,"It's not the size of the dog in the fight, It's the size of the fight in the dog."
Savage Nights,
Schindler's List,"Whoever saves one life, saves the world entire."
The Scout,He was praying for a miracle. What he got was Steve Nebraska.
Searching for Bobby Fischer,Every journey begins with a single move.
The Secret Garden,"The timeless tale of a special place where magic, hope and love grow."
Serial Mom,"Every Mom Wants to Be Wanted, But Not For Murder One!"
The Shadow,The Shadow Knows!
Shadowlands,
Short Cuts,Short Cuts raises the roof on America.
A Simple Twist of Fate,A twist of fate brought them something wonderful... Each other!
Sirens,"In the 1930s, an artist and his models scandalized a nation with their controversial paintings. For a young couple, meeting them was the experience of a lifetime."
Six Degrees of Separation,"For Paul, every person is a new door to a new world."
Sleepless in Seattle,"What if someone you never met, someone you never saw, someone you never knew was the only someone for you?"
Sliver,You like to watch... don't you?
Blade Runner,Man has made his match... now it's his problem.
Son in Law,He's a relative nightmare.
So I Married an Axe Murderer,The honeymoon was killer.
Striking Distance,"They shouldn't have put him in the water, if they didn't want him to make waves."
Super Mario Bros.,This Ain't No Game.
Surviving the Game,The ultimate manhunt.
Terminal Velocity,It's not the fall that kills you...
Thirty Two Short Films About Glenn Gould,The sound of genius.
Threesome,One girl. Two guys. Three possibilities.
The Nightmare Before Christmas,A ghoulish tale with wicked humor & stunning animation.
The Three Musketeers,All for one and one for all!
Tombstone,Justice is coming.
Trial by Jury,"For one juror, the question of guilt or innocence is a matter of life or death... her own."
True Romance,"Stealing, Cheating, Killing. Who said romance was dead?"
The War Room,They Changed The Way Campaigns Are Won
The Pagemaster,All The Adventure Your Imagination Can Hold.
"Paris, France",
Killer,You only hurt the one you love.
Welcome to the Dollhouse,Not all girls want to play with dolls.
Germinal,Who needs God and Heaven? We can change this lousy world.
Chasers,It was supposed to be a routine prisoner transfer. But this was no ordinary prisoner.
Cronos,
Kika,
Bhaji on the Beach,
Little Big League,Major League is about to experience a minor problem . . . . . . he's 12-years-old.
Wide Eyed and Legless,
"Ciao, Professore!","Ciao, Professore!"
Spanking the Monkey,A gripping comedy about letting go.
The Little Rascals,Mischief loves company
Andre,The greatest adventure is finding your way home.
Princess Caraboo,She was everything they dreamed of... And nothing they expected.
The Celluloid Closet,
Café au Lait,
The Brady Bunch Movie,
Home Alone,A Family Comedy Without the Family.
Ghost,A love that will last forever.
Aladdin,Wish granted!
Terminator 2: Judgment Day,It's nothing personal.
Dances with Wolves,Inside everyone is a frontier waiting to be discovered.
Batman,Have you ever danced with the devil in the pale moonlight?
The Silence of the Lambs,To enter the mind of a killer she must challenge the mind of a madman.
Snow White and the Seven Dwarfs,"The Happiest, Dopiest, Grumpiest, Sneeziest movie of the year."
Beauty and the Beast,The most beautiful love story ever told.
Pinocchio,For anyone who has ever wished upon a star.
Pretty Woman,Who knew it was so much fun to be a hooker?
The Wild Bunch,"If you only want to spend two hours in a movie theatre and go home and forget it, stay away from THE WILD BUNCH."
Love and a .45,This is one jagged twisting ride you'll never forget.
Bye Bye Love,
One Fine Day,She was having a perfectly bad day... Then he came along and spoiled it.
Candyman: Farewell to the Flesh,Evil comes when you call his name.
Fargo,A lot can happen in the middle of nowhere.
Homeward Bound II: Lost in San Francisco,Your favorite talking animals are back!
Heavy Metal,A Step Beyond Science Fiction
Hellraiser: Bloodline,"This year, the past, the present and the future will all meet at the crossroads of hell."
The Pallbearer,Something magical is about to unfold in the most unexpected place.
Jane Eyre,The passionate tale of forbidden secrets!
Loaded,
Bread and Chocolate,You'll Laugh Till Your Heart Breaks
The Aristocats,A tune-filled animated extravaganza.
The Flower of My Secret,Every woman has a secret...
Ed,Minor league. Major friendship.
Scream of Stone,"In this battle, there can be no winners"
My Favorite Season,
A Thin Line Between Love and Hate,"When you play, you pay."
The Last Supper,Love... Sex... Life... Death. In this house it's all on the table.
Primal Fear,"Sooner or later, a man who wears two faces forgets which one is real."
Carried Away,A story of first loves and last chances.
All Dogs Go to Heaven 2,Heaven help us! Look who's back in the adventure of 2 lifetimes.
Land and Freedom,The fight against fascism begins with the fight against Stalinism.
Denise Calls Up,"A hilarious heart-ringing fable about life, love and hangups."
A Family Thing,"With family, everything is relative."
Sgt. Bilko,All he ever wanted was an honest week's pay for an honest day's work.
Jack & Sarah,"She's not proper, she's not fitting, she's not British, but to Jack she's a breath of fresh air."
Girl 6,"A fresh, sassy and sexy comedy!"
Diabolique,Two women. One man. The combination can be murder.
Courage Under Fire,A medal for honor. A search for justice. A battle for truth.
Mission: Impossible,Expect the Impossible.
Moll Flanders,The remarkable story of one woman's unbreakable spirit.
The Superwife,
DragonHeart,You will believe.
Eddie,The newest coach in the NBA has got the Knicks right where she wants them.
Purple Noon,Passion at ten. Envy at eleven. Murder at noon.
James and the Giant Peach,Adventures this big don't grow on trees.
Fear,Together forever. Or else.
Kids in the Hall: Brain Candy,Shove this up your mind
Faithful,"A comedy about a wife, her husband and his hit man."
Underground,
